País,Matemática_2018,Matemática_2022,Variação_Absoluta
Australia,491,487,-4
Chile,417,412,-5
Dinamarca,509,489,-20
França,495,474,-21
Grécia,451,430,-21
Japão,527,536,9
México,409,395,-14
Suíça,515,508,-7
Turquia,454,453,-1
Estados Unidos,478,465,-13
Brasil,384,379,-5
