pais,ano,metrica,valor,unidade,fonte
Estados Unidos,2000,Gasto com saúde per capita,4548.55,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2001,Gasto total com saúde,1396.83,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Estados Unidos,2001,Gasto com saúde per capita,4901.68,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2002,Gasto total com saúde,1532.45,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Estados Unidos,2002,Gasto com saúde per capita,5327.94,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2003,Gasto total com saúde,1662.97,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Estados Unidos,2003,Gasto com saúde per capita,5732.24,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2004,Gasto total com saúde,1777.87,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Estados Unidos,2004,Gasto com saúde per capita,6071.84,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2005,Gasto total com saúde,1899.76,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Estados Unidos,2005,Gasto com saúde per capita,6428.60,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2006,Gasto total com saúde,2029.72,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Estados Unidos,2006,Gasto com saúde per capita,6802.48,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2007,Gasto total com saúde,2154.93,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Estados Unidos,2007,Gasto com saúde per capita,7153.73,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2008,Gasto total com saúde,2239.63,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Estados Unidos,2008,Gasto com saúde per capita,7364.94,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2009,Gasto total com saúde,2336.01,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Estados Unidos,2009,Gasto com saúde per capita,7614.82,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2010,Gasto total com saúde,2424.31,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Estados Unidos,2010,Gasto com saúde per capita,7836.09,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2011,Gasto total com saúde,2499.63,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Estados Unidos,2011,Gasto com saúde per capita,8015.78,US$ correntes por habitante,World Bank WDI / WHO GHED
Estados Unidos,2012,Gasto total com saúde,2597.16,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
