pais,ano,metrica,valor,unidade,fonte
Estados Unidos,2014,Gasto com saúde (% do PIB),16.14,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Estados Unidos,2015,Gasto com saúde (% do PIB),16.40,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Estados Unidos,2016,Gasto com saúde (% do PIB),16.69,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Estados Unidos,2017,Gasto com saúde (% do PIB),16.64,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Estados Unidos,2018,Gasto com saúde (% do PIB),16.51,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Estados Unidos,2019,Gasto com saúde (% do PIB),16.54,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Estados Unidos,2020,Gasto com saúde (% do PIB),18.52,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Estados Unidos,2021,Gasto com saúde (% do PIB),17.35,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Estados Unidos,2022,Gasto com saúde (% do PIB),16.53,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Estados Unidos,2023,Gasto com saúde (% do PIB),16.69,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Estados Unidos,2024,Gasto com saúde (% do PIB),,% do PIB,n/d — não publicado na base OMS/WB (atualizada 2026-07-13)
Estados Unidos,2025,Gasto com saúde (% do PIB),,% do PIB,n/d — não publicado na base OMS/WB (atualizada 2026-07-13)
