País,Matemática,Leitura
Australia,487,498
Chile,412,448
Dinamarca,489,489
França,474,474
Grécia,430,438
Japão,536,516
México,395,415
Suíça,508,483
Turquia,453,456
Estados Unidos,465,504
Brasil,379,410
